fig|1358.57.peg.233",blt
fig|1358.57.peg.222",azoR1
fig|1358.57.peg.2276",pi301
fig|1358.57.peg.638",yidC1
fig|1358.57.peg.736",nadD1
fig|1358.57.peg.759",glpF1
fig|1358.57.peg.760",pepDA
fig|1358.57.peg.776",ycgAB
fig|1358.57.peg.791",ecfA1
fig|1358.57.peg.793",ecfA2
fig|1358.57.peg.817",glpF1
fig|1358.57.peg.834",murA2
fig|1358.57.peg.872",pbp2B
fig|1358.57.peg.911",azoR2
fig|1358.57.peg.916",pbp1B
fig|1358.57.peg.92",trePP
fig|1358.57.peg.135",spxA1
fig|1358.57.peg.138",murA1
fig|1358.57.peg.1450",yidC2
fig|1358.57.peg.1470",pi339
fig|1358.57.peg.1531",ftsW1
fig|1358.57.peg.2237",mobC2
fig|1358.57.peg.2239",repX2
fig|1358.57.peg.409",ps201
fig|1358.57.peg.956",fabG1
fig|1358.57.peg.959",fabZ2
fig|1358.57.peg.971",metB2
fig|1358.57.peg.625",pnuC1
fig|1358.57.peg.2447",pnuC2
fig|1358.57.peg.2455",ftsW2
fig|1358.57.peg.2140",tagD2
fig|1358.57.peg.2155",trxB1
fig|1358.57.peg.269",comFA
fig|1358.57.peg.270",comFA
fig|1358.57.peg.319",ylfEG
fig|1358.57.peg.332",folKE
fig|1358.57.peg.348",yliC2
fig|1358.57.peg.2559",trmFO
fig|1358.57.peg.553",glpF2
fig|1358.57.peg.611",pepPQ
fig|1358.57.peg.1917",pyrDB
fig|1358.57.peg.1577",pi301
fig|1358.57.peg.6",pi360
fig|1358.57.peg.28",busAB
fig|1358.57.peg.29",opuAA
fig|1358.57.peg.68",ypcCD
fig|1358.57.peg.1150",pyrDA
fig|1358.57.peg.1151",msrA1
fig|1358.57.peg.1158",pepDB
fig|1358.57.peg.1183",csc2D
fig|1358.57.peg.1187",divIB
fig|1358.57.peg.1196",rpmE2
fig|1358.57.peg.1199",pi301
fig|1358.57.peg.1250",mutS2
fig|1358.57.peg.1252",trxB2
fig|1358.57.peg.1301",arcC3
fig|1358.57.peg.1310",ptnAB
fig|1358.57.peg.1387",comEC
fig|1358.57.peg.1388",comEA
fig|1358.57.peg.1401",fabG2
fig|1358.57.peg.1704",ps459
fig|1358.57.peg.1706",pi312
fig|1358.57.peg.1707",pi313
fig|1358.57.peg.1708",pi314
fig|1358.57.peg.1710",pi316
fig|1358.57.peg.1711",pi317
fig|1358.57.peg.1714",pi320
fig|1358.57.peg.1715",pi321
fig|1358.57.peg.1716",pi322
fig|1358.57.peg.1717",pi323
fig|1358.57.peg.1718",pi324
fig|1358.57.peg.1720",pi326
fig|1358.57.peg.1722",pi328
fig|1358.57.peg.1723",pi131
fig|1358.57.peg.1732",pi221
fig|1358.57.peg.1738",pi343
fig|1358.57.peg.1739",pi215
fig|1358.57.peg.1744",pi350
fig|1358.57.peg.1749",pi108
fig|1358.57.peg.1754",ps404
fig|1358.57.peg.1755",pi203
fig|1358.57.peg.1756",ps402
fig|1358.57.peg.1757",ps401
fig|1358.57.peg.1775",birA2
fig|1358.57.peg.2300",metB1
fig|1358.57.peg.2379",msrA2
fig|1358.57.peg.2386",ackA2
